日期,本品牌人群总资产,本品牌日新增,本品牌日流失,对比品牌均值人群总资产,对比品牌均值日新增,对比品牌均值日流失
2025-11-14,5832877,100042,473708,7629651,429019,362316
2025-11-15,5626186,110927,317618,7668111,337716,299256
2025-11-16,5672550,205395,159031,8048979,618387,237519
2025-11-17,5771925,251954,152579,9003862,1231877,276994
2025-11-18,6047497,431880,156308,9494362,826079,335579
2025-11-19,6132189,509358,424666,9648882,496471,341951
2025-11-20,6590679,643410,184920,9598855,415257,465284
2025-11-21,7043967,661390,208102,9585222,261301,274935
2025-11-22,8539127,1690850,195690,9793260,480617,272580
2025-11-23,8394250,154186,299063,9876585,366703,283378
2025-11-24,8233773,232081,392558,9879310,275100,272374
2025-11-25,8532938,492275,193110,9956491,362950,285769
2025-11-26,8378556,140313,294695,10005908,266857,217440
2025-11-27,8368491,179890,189955,10071474,313513,247947
2025-11-28,8292819,165024,240696,10038058,278130,311546
2025-11-29,8515799,332369,109389,9976212,337105,398952
2025-11-30,8659654,252081,108226,9909181,250397,317428
2025-12-01,8741540,274198,192312,9489111,261925,681995
2025-12-02,8919905,415390,237025,8748729,354555,1094936
2025-12-03,8876731,357149,400323,8546776,630670,832623
2025-12-04,8768848,343275,451158,8614369,569120,501527
2025-12-05,8405150,261935,625633,8615325,491996,491041
2025-12-06,8270902,491319,625567,8831844,495366,278846
2025-12-07,6724404,315399,1861897,8674196,321252,478900
2025-12-08,6823971,278452,178885,8596812,302030,379414
2025-12-09,6785257,220769,259483,8706017,411282,302077
2025-12-10,6645027,348405,488635,8682654,339525,362888
2025-12-11,6789478,308137,163686,9083488,668966,268132
2025-12-12,6914227,343379,218630,9127792,380744,336440
2025-12-13,6895601,212442,231068,9330122,498072,295742
2025-12-14,6766328,252370,381643,9438733,434985,326373
2025-12-15,6826458,345965,285835,9846184,633431,225980
2025-12-16,7026878,493469,293049,9961083,367404,252504
2025-12-17,6780887,223042,469033,10064824,446944,343203
2025-12-18,6725902,343847,398832,9804807,332989,593006
2025-12-19,6492402,145359,378859,9498823,257389,563373
2025-12-20,6538068,335584,289918,9537546,472389,433666
2025-12-21,6264905,243271,516434,9694254,646347,489639
2025-12-22,6090325,230372,404952,9817772,442900,319382
2025-12-23,5886179,107777,311923,9933759,424489,308501
2025-12-24,5754377,139698,271500,9988412,423006,368352
2025-12-25,5627734,111833,238476,10410670,719438,297181
2025-12-26,5499085,143661,272310,10282320,463900,592250
2025-12-27,5270456,120006,348635,10370862,445807,357265
2025-12-28,5120358,92317,242415,10473576,565097,462384
2025-12-29,4915632,84788,289514,10578166,507723,403133
2025-12-30,4626270,68819,358181,10456200,374099,496065
2025-12-31,4151346,55230,530154,10522744,471532,404989
2026-01-01,3956374,83739,278711,10492211,374434,404967
2026-01-02,3607511,89198,438061,10704488,502097,289821
2026-01-03,3564493,154529,197547,11011921,543163,235730
2026-01-04,3377897,222537,409133,11275729,647697,383890
2026-01-05,3164520,120239,333616,11174077,503188,604840
2026-01-06,3154870,256123,268746,11163942,404045,417726
2026-01-07,3522383,483862,119319,11322849,535072,379734
2026-01-08,3739399,368039,151015,11420296,471700,374293
2026-01-09,3824150,209169,133576,11182324,432622,681419
2026-01-10,3986926,297926,144300,11333984,551590,410608
2026-01-11,4169513,303870,121391,11380438,460812,414430
2026-01-12,4364430,303814,108901,11266531,383414,497362
2026-01-13,4454833,188596,98259,11096877,342918,512623
2026-01-14,4551965,180717,89770,11187848,456704,372922
2026-01-15,4639405,155432,74178,11163774,460651,491820
2026-01-16,4830688,288639,97434,11170396,389526,382607
2026-01-17,4888143,154899,97824,10987457,337340,519721
2026-01-18,4924848,188864,151984,10702109,285239,570111
2026-01-19,5015623,280300,202024,10568949,600860,745961
2026-01-20,5255547,355927,128959,10670339,663686,574759
2026-01-21,5508360,492209,240267,10841008,648151,477473
2026-01-22,5349917,245807,405166,10839148,589639,591647
2026-01-23,5318710,318935,350375,10869250,553285,523317
2026-01-24,5391901,294410,221715,10941648,552689,480516
2026-01-25,5301173,208170,299136,10836948,481429,586053
2026-01-26,5259974,243457,284921,10655763,313562,494677
2026-01-27,5183300,214701,291753,10568476,361115,448351
2026-01-28,5181605,202461,204625,10778905,570926,360493
2026-01-29,5204987,234340,210990,10737190,445479,487030
2026-01-30,5181238,140870,164959,10562136,327658,502630
2026-01-31,5111778,204500,273586,10642041,503812,423772
2026-02-01,5127566,186106,170724,10685501,404000,360594
2026-02-02,5068629,149565,208457,10754785,379322,310104
2026-02-03,4932313,187968,323777,10677509,573543,650084
2026-02-04,4673466,164675,422961,10544205,540100,672421
2026-02-05,4262307,140876,550739,10382214,521730,682561
2026-02-06,4212255,261366,310827,10198391,486552,669340
2026-02-07,4013456,170015,369919,10049403,451277,599760
2026-02-08,3859182,173790,327503,9944906,478673,582665
2026-02-09,3959483,334625,234371,9909220,526056,561265
2026-02-10,4170225,484466,273748,10449866,876791,336104
2026-02-11,4292065,352594,230739,10904097,815486,361347
